entry,at,order
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:32:28.108Z,168447434810800
"River: Q♦, 6♣, 2♣, 7♣ [7♥]",2023-05-19T05:32:26.212Z,168447434621200
"""AP @ mdgN-8uIsM"" calls 3.00",2023-05-19T05:32:25.367Z,168447434536700
"""OSig @ mX91O12t5W"" bets 3.00",2023-05-19T05:32:23.420Z,168447434342000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:32:19.811Z,168447433981100
"Turn: Q♦, 6♣, 2♣ [7♣]",2023-05-19T05:32:17.375Z,168447433737500
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:32:16.528Z,168447433652800
"""OSig @ mX91O12t5W"" calls 1.50",2023-05-19T05:32:11.160Z,168447433116000
"""AP @ mdgN-8uIsM"" bets 1.50",2023-05-19T05:32:09.693Z,168447432969300
"""AKos @ XdEkuctLKf"" checks",2023-05-19T05:32:06.323Z,168447432632300
"Flop:  [Q♦, 6♣, 2♣]",2023-05-19T05:32:02.190Z,168447432219000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:32:01.349Z,168447432134900
"""AKos @ XdEkuctLKf"" calls 1.00",2023-05-19T05:31:58.227Z,168447431822700
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:31:55.495Z,168447431549500
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:31:54.432Z,168447431443200
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:31:52.638Z,168447431263800
"""AP @ mdgN-8uIsM"" posts a big blind of 1.00",2023-05-19T05:31:51.522Z,168447431152208
"""AKos @ XdEkuctLKf"" posts a small blind of 0.50",2023-05-19T05:31:51.522Z,168447431152207
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (203.00) | #2 ""Kid @ j_PUrV83DE"" (385.26) | #4 ""OSig @ mX91O12t5W"" (252.23) | #7 ""AKos @ XdEkuctLKf"" (263.68) | #9 ""AP @ mdgN-8uIsM"" (214.93)",2023-05-19T05:31:51.522Z,168447431152201
"-- starting hand #314 (id: lwmvtr0qeito)  (No Limit Texas Hold'em) (dealer: ""OSig @ mX91O12t5W"") --",2023-05-19T05:31:51.522Z,168447431152200
"""AP @ mdgN-8uIsM"" shows a 3♣, K♣.",2023-05-19T05:31:48.883Z,168447430888300
"""Kid @ j_PUrV83DE"" shows a 8♣, 7♥.",2023-05-19T05:31:47.883Z,168447430788300
"-- ending hand #313 --",2023-05-19T05:31:47.122Z,168447430712202
"""AP @ mdgN-8uIsM"" collected 21.00 from pot",2023-05-19T05:31:47.122Z,168447430712201
"Uncalled bet of 10.50 returned to ""AP @ mdgN-8uIsM""",2023-05-19T05:31:47.122Z,168447430712200
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:31:46.300Z,168447430630000
"""AP @ mdgN-8uIsM"" bets 10.50",2023-05-19T05:31:45.130Z,168447430513000
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:31:35.730Z,168447429573000
"River: 7♦, 3♦, 3♠, 10♣ [7♠]",2023-05-19T05:31:33.907Z,168447429390700
"""OSig @ mX91O12t5W"" calls 7.00",2023-05-19T05:31:33.085Z,168447429308500
"The admin approved the player ""joey @ LjnVHfEU0Y"" participation with a stack of 50.00.",2023-05-19T05:31:26.066Z,168447428606600
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:31:21.716Z,168447428171600
"""AP @ mdgN-8uIsM"" raises to 7.00",2023-05-19T05:31:20.265Z,168447428026500
"The player ""joey @ LjnVHfEU0Y"" requested a seat.",2023-05-19T05:31:18.500Z,168447427850000
"""OSig @ mX91O12t5W"" bets 3.50",2023-05-19T05:31:14.060Z,168447427406000
"Turn: 7♦, 3♦, 3♠ [10♣]",2023-05-19T05:31:09.814Z,168447426981400
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:31:08.964Z,168447426896400
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:31:06.644Z,168447426664400
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:30:51.901Z,168447425190100
"""OSig @ mX91O12t5W"" bets 1.00",2023-05-19T05:30:50.975Z,168447425097500
"Flop:  [7♦, 3♦, 3♠]",2023-05-19T05:30:46.458Z,168447424645800
"""AKos @ XdEkuctLKf"" checks",2023-05-19T05:30:45.592Z,168447424559200
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:30:44.131Z,168447424413100
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:30:43.211Z,168447424321100
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:30:42.136Z,168447424213600
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:30:40.889Z,168447424088900
"""AKos @ XdEkuctLKf"" posts a big blind of 1.00",2023-05-19T05:30:30.953Z,168447423095308
"""OSig @ mX91O12t5W"" posts a small blind of 0.50",2023-05-19T05:30:30.953Z,168447423095307
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (203.00) | #2 ""Kid @ j_PUrV83DE"" (387.26) | #4 ""OSig @ mX91O12t5W"" (261.23) | #7 ""AKos @ XdEkuctLKf"" (264.68) | #9 ""AP @ mdgN-8uIsM"" (202.93)",2023-05-19T05:30:30.953Z,168447423095301
"-- starting hand #313 (id: mluza0uwdntg)  (No Limit Texas Hold'em) (dealer: ""Kid @ j_PUrV83DE"") --",2023-05-19T05:30:30.953Z,168447423095300
"-- ending hand #312 --",2023-05-19T05:30:25.024Z,168447422502402
"""AKos @ XdEkuctLKf"" collected 9.00 from pot",2023-05-19T05:30:25.024Z,168447422502401
"Uncalled bet of 9.00 returned to ""AKos @ XdEkuctLKf""",2023-05-19T05:30:25.024Z,168447422502400
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:30:24.155Z,168447422415500
"""AKos @ XdEkuctLKf"" bets 9.00",2023-05-19T05:30:22.864Z,168447422286400
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:30:19.800Z,168447421980000
"Turn: 3♦, A♦, 6♠ [7♣]",2023-05-19T05:30:18.619Z,168447421861900
"""OSig @ mX91O12t5W"" calls 3.00",2023-05-19T05:30:17.765Z,168447421776500
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:30:16.369Z,168447421636900
"""AKos @ XdEkuctLKf"" bets 3.00",2023-05-19T05:30:10.472Z,168447421047200
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:30:05.720Z,168447420572000
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:30:04.678Z,168447420467800
"Flop:  [3♦, A♦, 6♠]",2023-05-19T05:29:58.270Z,168447419827000
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:29:57.431Z,168447419743100
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:29:56.487Z,168447419648700
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:29:53.110Z,168447419311000
"""AP @ mdgN-8uIsM"" folds",2023-05-19T05:29:52.071Z,168447419207100
"""AKos @ XdEkuctLKf"" calls 1.00",2023-05-19T05:29:31.184Z,168447417118400
"""OSig @ mX91O12t5W"" posts a big blind of 1.00",2023-05-19T05:29:29.632Z,168447416963208
"""Kid @ j_PUrV83DE"" posts a small blind of 0.50",2023-05-19T05:29:29.632Z,168447416963207
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (203.00) | #2 ""Kid @ j_PUrV83DE"" (388.26) | #4 ""OSig @ mX91O12t5W"" (265.23) | #7 ""AKos @ XdEkuctLKf"" (259.68) | #9 ""AP @ mdgN-8uIsM"" (202.93)",2023-05-19T05:29:29.632Z,168447416963201
"-- starting hand #312 (id: ggk1chqldmxx)  (No Limit Texas Hold'em) (dealer: ""Abhar @ XnUsg-Ux8p"") --",2023-05-19T05:29:29.632Z,168447416963200
"-- ending hand #311 --",2023-05-19T05:29:23.633Z,168447416363302
"""OSig @ mX91O12t5W"" collected 24.50 from pot",2023-05-19T05:29:23.633Z,168447416363301
"Uncalled bet of 12.25 returned to ""OSig @ mX91O12t5W""",2023-05-19T05:29:23.633Z,168447416363300
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:29:22.786Z,168447416278600
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:29:21.355Z,168447416135500
"""OSig @ mX91O12t5W"" bets 12.25",2023-05-19T05:29:18.235Z,168447415823500
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:29:12.137Z,168447415213700
"Turn: 8♠, 7♣, 4♦ [6♦]",2023-05-19T05:29:08.861Z,168447414886100
"""AKos @ XdEkuctLKf"" checks",2023-05-19T05:29:08.042Z,168447414804200
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:29:06.625Z,168447414662500
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:29:03.227Z,168447414322700
"Flop:  [8♠, 7♣, 4♦]",2023-05-19T05:28:58.602Z,168447413860200
"""OSig @ mX91O12t5W"" calls 8.00",2023-05-19T05:28:57.775Z,168447413777500
"""Kid @ j_PUrV83DE"" calls 8.00",2023-05-19T05:28:56.310Z,168447413631000
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:28:55.393Z,168447413539300
"""AP @ mdgN-8uIsM"" folds",2023-05-19T05:28:54.342Z,168447413434200
"""AKos @ XdEkuctLKf"" raises to 8.00",2023-05-19T05:28:49.833Z,168447412983300
"""OSig @ mX91O12t5W"" raises to 3.50",2023-05-19T05:28:44.080Z,168447412408000
"""Kid @ j_PUrV83DE"" posts a big blind of 1.00",2023-05-19T05:28:41.267Z,168447412126708
"""Abhar @ XnUsg-Ux8p"" posts a small blind of 0.50",2023-05-19T05:28:41.267Z,168447412126707
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (203.50) | #2 ""Kid @ j_PUrV83DE"" (396.26) | #4 ""OSig @ mX91O12t5W"" (248.73) | #7 ""AKos @ XdEkuctLKf"" (267.68) | #9 ""AP @ mdgN-8uIsM"" (202.93)",2023-05-19T05:28:41.267Z,168447412126701
"-- starting hand #311 (id: uffqgi3eck5q)  (No Limit Texas Hold'em) (dealer: ""AP @ mdgN-8uIsM"") --",2023-05-19T05:28:41.267Z,168447412126700
"""AP @ mdgN-8uIsM"" shows a J♥, 8♣.",2023-05-19T05:28:38.451Z,168447411845100
"-- ending hand #310 --",2023-05-19T05:28:37.662Z,168447411766202
"""AP @ mdgN-8uIsM"" collected 4.00 from pot",2023-05-19T05:28:37.662Z,168447411766201
"Uncalled bet of 3.00 returned to ""AP @ mdgN-8uIsM""",2023-05-19T05:28:37.662Z,168447411766200
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:28:36.841Z,168447411684100
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:28:35.856Z,168447411585600
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:28:32.632Z,168447411263200
"""AP @ mdgN-8uIsM"" bets 3.00",2023-05-19T05:28:31.059Z,168447411105900
"River: K♥, 10♥, 7♠, K♣ [9♦]",2023-05-19T05:28:25.967Z,168447410596700
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:28:25.070Z,168447410507000
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:28:24.077Z,168447410407700
"""Abhar @ XnUsg-Ux8p"" checks",2023-05-19T05:28:23.134Z,168447410313400
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:28:21.272Z,168447410127200
"Turn: K♥, 10♥, 7♠ [K♣]",2023-05-19T05:28:18.152Z,168447409815200
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:28:17.275Z,168447409727500
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:28:16.246Z,168447409624600
"""Abhar @ XnUsg-Ux8p"" checks",2023-05-19T05:28:13.220Z,168447409322000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:28:11.849Z,168447409184900
"Flop:  [K♥, 10♥, 7♠]",2023-05-19T05:28:08.331Z,168447408833100
"""Abhar @ XnUsg-Ux8p"" checks",2023-05-19T05:28:07.518Z,168447408751800
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:28:03.485Z,168447408348500
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:28:02.617Z,168447408261700
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:28:01.645Z,168447408164500
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:28:00.336Z,168447408033600
"""Abhar @ XnUsg-Ux8p"" posts a big blind of 1.00",2023-05-19T05:27:58.521Z,168447407852108
"""AP @ mdgN-8uIsM"" posts a small blind of 0.50",2023-05-19T05:27:58.521Z,168447407852107
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (204.50) | #2 ""Kid @ j_PUrV83DE"" (397.26) | #4 ""OSig @ mX91O12t5W"" (249.73) | #7 ""AKos @ XdEkuctLKf"" (267.68) | #9 ""AP @ mdgN-8uIsM"" (199.93)",2023-05-19T05:27:58.521Z,168447407852101
"-- starting hand #310 (id: rl0etgq1njhq)  (No Limit Texas Hold'em) (dealer: ""AKos @ XdEkuctLKf"") --",2023-05-19T05:27:58.521Z,168447407852100
"""Abhar @ XnUsg-Ux8p"" shows a 7♥, A♠.",2023-05-19T05:27:56.972Z,168447407697200
"""AKos @ XdEkuctLKf"" shows a 8♣, 6♥.",2023-05-19T05:27:53.140Z,168447407314000
"""AP @ mdgN-8uIsM"" shows a 3♥, 10♠.",2023-05-19T05:27:51.797Z,168447407179700
"-- ending hand #309 --",2023-05-19T05:27:50.503Z,168447407050302
"""AP @ mdgN-8uIsM"" collected 1.00 from pot",2023-05-19T05:27:50.503Z,168447407050301
"Uncalled bet of 0.50 returned to ""AP @ mdgN-8uIsM""",2023-05-19T05:27:50.503Z,168447407050300
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:27:49.660Z,168447406966000
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:27:48.000Z,168447406800000
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:27:47.030Z,168447406703000
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:27:46.102Z,168447406610200
"""AP @ mdgN-8uIsM"" posts a big blind of 1.00",2023-05-19T05:27:44.099Z,168447406409908
"""AKos @ XdEkuctLKf"" posts a small blind of 0.50",2023-05-19T05:27:44.099Z,168447406409907
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (204.50) | #2 ""Kid @ j_PUrV83DE"" (397.26) | #4 ""OSig @ mX91O12t5W"" (249.73) | #7 ""AKos @ XdEkuctLKf"" (268.18) | #9 ""AP @ mdgN-8uIsM"" (199.43)",2023-05-19T05:27:44.099Z,168447406409901
"-- starting hand #309 (id: m7aa2khxqilr)  (No Limit Texas Hold'em) (dealer: ""OSig @ mX91O12t5W"") --",2023-05-19T05:27:44.099Z,168447406409900
"-- ending hand #308 --",2023-05-19T05:27:38.172Z,168447405817202
"""Kid @ j_PUrV83DE"" collected 10.50 from pot",2023-05-19T05:27:38.172Z,168447405817201
"Uncalled bet of 10.50 returned to ""Kid @ j_PUrV83DE""",2023-05-19T05:27:38.172Z,168447405817200
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:27:37.336Z,168447405733600
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:27:36.341Z,168447405634100
"""Kid @ j_PUrV83DE"" bets 10.50",2023-05-19T05:27:34.376Z,168447405437600
"""AKos @ XdEkuctLKf"" checks",2023-05-19T05:27:31.545Z,168447405154500
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:27:29.140Z,168447404914000
"Flop:  [9♣, 2♦, 8♠]",2023-05-19T05:27:27.690Z,168447404769000
"""AKos @ XdEkuctLKf"" calls 3.50",2023-05-19T05:27:26.858Z,168447404685800
"""OSig @ mX91O12t5W"" calls 3.50",2023-05-19T05:27:22.455Z,168447404245500
"""Kid @ j_PUrV83DE"" raises to 3.50",2023-05-19T05:27:21.095Z,168447404109500
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:27:16.282Z,168447403628200
"""AP @ mdgN-8uIsM"" folds",2023-05-19T05:26:55.296Z,168447401529600
"""AKos @ XdEkuctLKf"" posts a big blind of 1.00",2023-05-19T05:26:53.997Z,168447401399708
"""OSig @ mX91O12t5W"" posts a small blind of 0.50",2023-05-19T05:26:53.997Z,168447401399707
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (204.50) | #2 ""Kid @ j_PUrV83DE"" (390.26) | #4 ""OSig @ mX91O12t5W"" (253.23) | #7 ""AKos @ XdEkuctLKf"" (271.68) | #9 ""AP @ mdgN-8uIsM"" (199.43)",2023-05-19T05:26:53.997Z,168447401399701
"-- starting hand #308 (id: blrkteduqgiw)  (No Limit Texas Hold'em) (dealer: ""Kid @ j_PUrV83DE"") --",2023-05-19T05:26:53.997Z,168447401399700
"-- ending hand #307 --",2023-05-19T05:26:47.986Z,168447400798602
"""OSig @ mX91O12t5W"" collected 16.00 from pot",2023-05-19T05:26:47.986Z,168447400798601
"Uncalled bet of 8.00 returned to ""OSig @ mX91O12t5W""",2023-05-19T05:26:47.986Z,168447400798600
"""AP @ mdgN-8uIsM"" folds",2023-05-19T05:26:47.084Z,168447400708400
"""OSig @ mX91O12t5W"" bets 8.00",2023-05-19T05:26:26.948Z,168447398694800
"Flop:  [A♣, 4♥, 9♣]",2023-05-19T05:26:23.656Z,168447398365600
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:26:22.841Z,168447398284100
"""AP @ mdgN-8uIsM"" calls 7.00",2023-05-19T05:26:21.381Z,168447398138100
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:26:16.730Z,168447397673000
"""OSig @ mX91O12t5W"" raises to 7.00",2023-05-19T05:26:14.085Z,168447397408500
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:26:10.818Z,168447397081800
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:26:08.215Z,168447396821500
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:26:07.254Z,168447396725400
"""AKos @ XdEkuctLKf"" calls 1.00",2023-05-19T05:25:55.468Z,168447395546800
"""OSig @ mX91O12t5W"" posts a big blind of 1.00",2023-05-19T05:25:53.941Z,168447395394108
"""Kid @ j_PUrV83DE"" posts a small blind of 0.50",2023-05-19T05:25:53.941Z,168447395394107
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (204.50) | #2 ""Kid @ j_PUrV83DE"" (391.26) | #4 ""OSig @ mX91O12t5W"" (244.23) | #7 ""AKos @ XdEkuctLKf"" (272.68) | #9 ""AP @ mdgN-8uIsM"" (206.43)",2023-05-19T05:25:53.941Z,168447395394101
"-- starting hand #307 (id: 9ukxpmywxiyx)  (No Limit Texas Hold'em) (dealer: ""Abhar @ XnUsg-Ux8p"") --",2023-05-19T05:25:53.941Z,168447395394100
"-- ending hand #306 --",2023-05-19T05:25:48.024Z,168447394802402
"""OSig @ mX91O12t5W"" collected 7.50 from pot",2023-05-19T05:25:48.024Z,168447394802401
"Uncalled bet of 3.75 returned to ""OSig @ mX91O12t5W""",2023-05-19T05:25:48.024Z,168447394802400
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:25:47.209Z,168447394720900
"""OSig @ mX91O12t5W"" bets 3.75",2023-05-19T05:25:45.900Z,168447394590000
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:25:42.099Z,168447394209900
"Flop:  [6♦, A♦, A♥]",2023-05-19T05:25:38.130Z,168447393813000
"""Kid @ j_PUrV83DE"" calls 3.50",2023-05-19T05:25:37.281Z,168447393728100
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:25:29.152Z,168447392915200
"""AP @ mdgN-8uIsM"" folds",2023-05-19T05:25:20.563Z,168447392056300
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:25:19.606Z,168447391960600
"""OSig @ mX91O12t5W"" raises to 3.50",2023-05-19T05:25:18.620Z,168447391862000
"""Kid @ j_PUrV83DE"" posts a big blind of 1.00",2023-05-19T05:25:15.746Z,168447391574608
"""Abhar @ XnUsg-Ux8p"" posts a small blind of 0.50",2023-05-19T05:25:15.746Z,168447391574607
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (205.00) | #2 ""Kid @ j_PUrV83DE"" (394.76) | #4 ""OSig @ mX91O12t5W"" (240.23) | #7 ""AKos @ XdEkuctLKf"" (272.68) | #9 ""AP @ mdgN-8uIsM"" (206.43)",2023-05-19T05:25:15.746Z,168447391574601
"-- starting hand #306 (id: j3fkctijyqmb)  (No Limit Texas Hold'em) (dealer: ""AP @ mdgN-8uIsM"") --",2023-05-19T05:25:15.746Z,168447391574600
"""AKos @ XdEkuctLKf"" shows a 5♣, Q♠.",2023-05-19T05:25:10.448Z,168447391044800
"-- ending hand #305 --",2023-05-19T05:25:09.196Z,168447390919602
"""AP @ mdgN-8uIsM"" collected 7.00 from pot with Two Pair, 10's & 2's (combination: 10♦, 10♣, 2♣, 2♥, Q♥)",2023-05-19T05:25:09.196Z,168447390919601
"""AP @ mdgN-8uIsM"" shows a 10♦, 3♦.",2023-05-19T05:25:09.196Z,168447390919600
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:25:08.345Z,168447390834500
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:25:07.447Z,168447390744700
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:24:59.278Z,168447389927800
"River: 2♣, 2♥, 7♦, Q♥ [10♣]",2023-05-19T05:24:55.176Z,168447389517600
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:24:54.313Z,168447389431300
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:24:52.605Z,168447389260500
"""Kid @ j_PUrV83DE"" bets 1.00",2023-05-19T05:24:51.268Z,168447389126800
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:24:49.539Z,168447388953900
"Turn: 2♣, 2♥, 7♦ [Q♥]",2023-05-19T05:24:44.904Z,168447388490400
"""OSig @ mX91O12t5W"" checks",2023-05-19T05:24:43.975Z,168447388397500
"""Kid @ j_PUrV83DE"" checks",2023-05-19T05:24:42.981Z,168447388298100
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:24:42.060Z,168447388206000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:24:41.053Z,168447388105300
"Flop:  [2♣, 2♥, 7♦]",2023-05-19T05:24:37.566Z,168447387756600
"""Abhar @ XnUsg-Ux8p"" checks",2023-05-19T05:24:36.734Z,168447387673400
"""AP @ mdgN-8uIsM"" calls 1.00",2023-05-19T05:24:34.461Z,168447387446100
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:24:29.316Z,168447386931600
"""OSig @ mX91O12t5W"" calls 1.00",2023-05-19T05:24:28.405Z,168447386840500
"""Kid @ j_PUrV83DE"" calls 1.00",2023-05-19T05:24:27.492Z,168447386749200
"""Abhar @ XnUsg-Ux8p"" posts a big blind of 1.00",2023-05-19T05:24:24.041Z,168447386404108
"""AP @ mdgN-8uIsM"" posts a small blind of 0.50",2023-05-19T05:24:24.041Z,168447386404107
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (206.00) | #2 ""Kid @ j_PUrV83DE"" (396.76) | #4 ""OSig @ mX91O12t5W"" (242.23) | #7 ""AKos @ XdEkuctLKf"" (272.68) | #9 ""AP @ mdgN-8uIsM"" (201.43)",2023-05-19T05:24:24.041Z,168447386404101
"-- starting hand #305 (id: ovl2mkkjiklr)  (No Limit Texas Hold'em) (dealer: ""AKos @ XdEkuctLKf"") --",2023-05-19T05:24:24.041Z,168447386404100
"-- ending hand #304 --",2023-05-19T05:24:18.103Z,168447385810302
"""OSig @ mX91O12t5W"" collected 7.50 from pot",2023-05-19T05:24:18.103Z,168447385810301
"Uncalled bet of 3.75 returned to ""OSig @ mX91O12t5W""",2023-05-19T05:24:18.103Z,168447385810300
"""AP @ mdgN-8uIsM"" folds",2023-05-19T05:24:17.238Z,168447385723800
"""OSig @ mX91O12t5W"" bets 3.75",2023-05-19T05:24:14.445Z,168447385444500
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:24:12.040Z,168447385204000
"Flop:  [3♣, 6♠, Q♦]",2023-05-19T05:24:07.887Z,168447384788700
"""AP @ mdgN-8uIsM"" calls 3.50",2023-05-19T05:24:07.039Z,168447384703900
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:24:04.022Z,168447384402200
"""OSig @ mX91O12t5W"" raises to 3.50",2023-05-19T05:24:03.012Z,168447384301200
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:24:00.816Z,168447384081600
"""Abhar @ XnUsg-Ux8p"" folds",2023-05-19T05:23:57.689Z,168447383768900
"""AP @ mdgN-8uIsM"" posts a big blind of 1.00",2023-05-19T05:23:54.152Z,168447383415208
"""AKos @ XdEkuctLKf"" posts a small blind of 0.50",2023-05-19T05:23:54.152Z,168447383415207
"Player stacks: #1 ""Abhar @ XnUsg-Ux8p"" (206.00) | #2 ""Kid @ j_PUrV83DE"" (396.76) | #4 ""OSig @ mX91O12t5W"" (238.23) | #7 ""AKos @ XdEkuctLKf"" (273.18) | #9 ""AP @ mdgN-8uIsM"" (204.93)",2023-05-19T05:23:54.152Z,168447383415201
"-- starting hand #304 (id: 8ddfolhfrzoi)  (No Limit Texas Hold'em) (dealer: ""OSig @ mX91O12t5W"") --",2023-05-19T05:23:54.152Z,168447383415200
"""AKos @ XdEkuctLKf"" shows a 6♠, 3♣.",2023-05-19T05:23:50.651Z,168447383065100
"-- ending hand #303 --",2023-05-19T05:23:47.603Z,168447382760302
"""Abhar @ XnUsg-Ux8p"" collected 93.00 from pot with Two Pair, K's & 5's (combination: K♥, K♦, 5♥, 5♦, Q♥)",2023-05-19T05:23:47.603Z,168447382760301
"""Abhar @ XnUsg-Ux8p"" shows a K♥, K♦.",2023-05-19T05:23:47.603Z,168447382760300
"""AP @ mdgN-8uIsM"" calls 20.00",2023-05-19T05:23:46.745Z,168447382674500
"""Abhar @ XnUsg-Ux8p"" bets 20.00",2023-05-19T05:23:44.760Z,168447382476000
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:23:40.598Z,168447382059800
"River: Q♥, 5♥, 3♠, 3♥ [5♦]",2023-05-19T05:23:34.283Z,168447381428300
"""Abhar @ XnUsg-Ux8p"" calls 13.25",2023-05-19T05:23:33.403Z,168447381340300
"""AP @ mdgN-8uIsM"" bets 13.25",2023-05-19T05:23:31.091Z,168447381109100
"Turn: Q♥, 5♥, 3♠ [3♥]",2023-05-19T05:23:26.190Z,168447380619000
"""Abhar @ XnUsg-Ux8p"" checks",2023-05-19T05:23:25.365Z,168447380536500
"""AP @ mdgN-8uIsM"" checks",2023-05-19T05:23:19.577Z,168447379957700
"Flop:  [Q♥, 5♥, 3♠]",2023-05-19T05:23:16.370Z,168447379637000
"""AP @ mdgN-8uIsM"" calls 12.50",2023-05-19T05:23:15.481Z,168447379548100
"""AKos @ XdEkuctLKf"" folds",2023-05-19T05:23:12.322Z,168447379232200
"""OSig @ mX91O12t5W"" folds",2023-05-19T05:23:11.411Z,168447379141100
"""Kid @ j_PUrV83DE"" folds",2023-05-19T05:23:10.360Z,168447379036000
"""Abhar @ XnUsg-Ux8p"" raises to 12.50",2023-05-19T05:23:08.703Z,168447378870300
"""AP @ mdgN-8uIsM"" raises to 3.50",2023-05-19T05:23:01.704Z,168447378170400
"""AKos @ XdEkuctLKf"" posts a big blind of 1.00",2023-05-19T05:22:56.782Z,168447377678208
"""OSig @ mX91O12t5W"" posts a small blind of 0.50",2023-05-19T05:22:56.782Z,168447377678207
